periodo,shac,codigo,nombre,dia_slope,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
2000-2020,SHAC_224,5414009,PERFIL PUTAENDO (2),0.0033333341969330093,1.2166669818805484,8.3446502685546875e-07,1,16,20,0.8,-70.74932717,-32.69690364
2000-2010,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),-4.004801762114565e-6,-0.0014617526431718161,0.9223167300224304,0,11,10,1.1,-71.40980426,-32.92284453
2000-2010,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),0.0013084110817757004,0.47757004484813065,0.0724947452545166,0,3,10,0.3,-71.42446573,-32.92570783
2000-2010,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),8.622854512348264e-4,0.31473418970071165,0,1,11,10,1.1,-71.43890726,-32.93143209
2000-2010,SHAC_216,5426019,LAJARILLAS,-7.082636469692093e-5,-0.025851623114376138,0.33234304189682007,0,11,10,1.1,-71.46630064,-32.92369858
2000-2010,SHAC_216,5426021,TABOLANGO (1),5.210294563716258e-4,0.19017575157564343,1.1920928955078125e-7,1,11,10,1.1,-71.36176478,-32.92720664
2000-2010,SHAC_216,5426023,TABOLANGO (2),0.0015837105158371034,0.5780543382805428,1,0,2,10,0.2,-71.36605871,-32.93105693
2000-2010,SHAC_216,5428005,CON CON,-6.96132635359116e-4,-0.25408841190607734,0,1,11,10,1.1,-71.47398601,-32.92593612
2000-2010,SHAC_216,5428006,CON CON,5.280668362576393e-5,0.019274439523403835,0.05794715881347656,0,11,10,1.1,-71.47217409,-32.92383496
2000-2010,SHAC_216,5428008,CON CON,-5.269336226812471e-4,-0.1923307722786552,1.6182895024030586e-9,1,11,10,1.1,-71.49086356,-32.92386042
2000-2010,SHAC_216,5428010,LAJARILLAS,1.1671640066205483e-4,0.04260148624165001,0.1549457311630249,0,9,10,0.9,-71.46550599,-32.92549965
2000-2010,SHAC_217,5410011,FUNDO LAS PENAS,0.002000994240059678,0.7303628976217825,0.09123897552490234,0,7,10,0.7,-70.6532793,-32.79706589
2000-2010,SHAC_217,5410014,MISION DE MARIA,-0.001408044536124795,-0.5139362556855501,0.02096947282552719,1,11,10,1.1,-70.68086565,-32.80406714
